name,registry,ship_class,description
USS Defiant,NCC-75633,Defiant,Formerly the USS São Paulo. Assigned to space station Deep Space Nine. Participates in the Battle of Cardassia.
SS Vico,NAR-18834,Oberth,"Research vessel that was in service with Starfleet in the mid-24th century. This ship was on loan to a civilian agency, and was given a civilian registry. Vico operated out of Starbase 514. In 2368, the Vico explored an astronomical formation known as a black cluster. Found derelict by Enterprise-D."
USS Raven,NAR-32450,Undetermined,Science and exploration vessel used by the Hansens for exploration of the Delta Quadrant where Seven of Nine was assimilated by the Borg.
USS YorktownUSS Enterprise (from 2286),NCC 1717,Constitution refit,"Disabled by whale probe, then possibly salvaged and renamed Enterprise; although no onscreen evidence supports this. Command given to James T. Kirk following his demotion to Captain. Primary setting for Star Trek V: The Final Frontier and Star Trek VI: The Undiscovered Country, later decommissioned."
USS Houston,NCC 97284,Odyssey,"The Houston, commanded by Admiral D'Vak, lead the federation in an assault against the Borg Queen's Octahedron in the space around the Unicomplex."
USS Kelvin,NCC-0514,Einstein,"In the timeline at the start of the movie Star Trek, the Kelvin was in service with Starfleet in the early 23rd century. In 2233, the Kelvin was under the command of Captain Richard Robau; his first officer was Lieutenant Commander George Kirk. Kirk's wife, Winona, was also aboard the ship at that time while she was pregnant with their son, James T. Kirk. The Kelvin was destroyed by the Romulan mining ship Narada, which arrived from the distant future through an artificial black hole. Named for director J. J. Abrams' grandfather. Its registry number, NCC-0514, comes from Abrams's birthdate of May 14."
USS Endeavour,NCC-06,Columbia,Originally the last active NX class starship in the Earth Starfleet. Transferred to Federation Starfleet service and rebuilt into the first Columbia class starship.
USS T'Plana-Hath,NCC-1004,Engle,Destroyed at the Battle at the Binary Stars.
USS Constellation,NCC-1017,Constitution,Commanded by Commodore Matthew Decker. All of crew was killed by the Doomsday Machine except for Commodore Decker. Used as a bomb to destroy the planet-killer.
USS Crossfield,NCC-1029,Crossfield,Presumable namesake ship for the class.
USS Endeavour,NCC-06,Columbia,Originally the last active NX class starship in the Earth Starfleet. Transferred to Federation Starfleet service and rebuilt into the first Columbia class starship.
USS T'Plana-Hath,NCC-1004,Engle,Destroyed at the Battle at the Binary Stars.
USS Constellation,NCC-1017,Constitution,Commanded by Commodore Matthew Decker. All of crew was killed by the Doomsday Machine except for Commodore Decker. Used as a bomb to destroy the planet-killer.
USS Crossfield,NCC-1029,Crossfield,Presumable namesake ship for the class.
USS Glenn,NCC-1030,Crossfield,Sister ship to the Discovery. Scuttled following a failed propulsion experiment.
USS Discovery,NCC-1031,Crossfield,"Titular ship in 2017 television series Star Trek: Discovery. Initially commanded by Captain Gabriel Lorca, and later by Captain Christopher Pike, the Discovery is a science vessel commissioned to investigate potential forms of faster-than-light propulsion such as the spore drive."
USS Hermes,NCC-10376,Antares,Part of the tachyon blockade during the Klingon Civil War.
USS Earhart,NCC-1052,Engle,Fought at the Battle at the Binary Stars.
USS Horatio,NCC-10532,Ambassador,Commanded by Captain Walker Keel. Destroyed by agents of an alien conspiracy to take over Starfleet.
USS Ajax,NCC-11574,Apollo,Cortin Zweller's first assignment. Received experimental warp drive technology. Part of the tachyon blockade during the Klingon Civil War.
USS Agamemnon,NCC-11638,Apollo,"Part of the tachyon blockade during the Klingon Civil War. Part of ""Task Force 3"" sent to face an anticipated Borg attack."
USS Gage,NCC-11672,Apollo,Destroyed at the Battle of Wolf 359.
USS Clement,NCC-12537,Apollo,Scheduled to rendezvous with the Enterprise-D.
USS Kerala,NCC-1255,Shepard,Destroyed at the Battle at the Binary Stars.
USS Ride,NCC-1265,Shepard,Fought at the Battle at the Binary Stars.
USS Gagarin,NCC-1309,Shepard,Ambushed and destroyed by the Klingons.
USS Republic,NCC-1371,Constitution,"Although many reference sources included Republic as a Constitution-class heavy cruiser, its status in canon is, to date, uncertain. Kirk himself stated in the episode ""Court Martial"" the ship's nomenclature as ""United Starship Republic, number 1371""."
USS Okinawa,NCC-13958,Excelsior,Ship commanded by Admiral James Leyton and on which Benjamin Sisko served as first officer.
USS Shran,NCC-1413,Magee,Destroyed at the Battle at the Binary Stars.
USS Buran,NCC-1422,Cardenas,"The ship was ambushed by Klingons about a month after the beginning of the 2256 Federation-Klingon war and apparently destroyed. Its captain at the time was Gabriel Lorca.At some point Lorca was replaced by his mirror-universe counterpart, who impersonated him and reported that ship was boarded, then set to self destruct by him so that its crew doesn't fall into Klingon hands and face degradation, torture and slow public death."
USS Berlin,NCC-14232,Excelsior,Patrolled the Romulan Neutral Zone.
